Greenland,GRL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,48203.12306,50653.05859,68086.46012,,
Guatemala,GTM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6434.507037,6784.44713,11828.33001,13019.47859,13750.28791
Guam,GUM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Guyana,GUY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8436.514384,10066.07298,22865.93217,39710.96689,54732.14407
High income,HIC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,36769.46701,39025.47426,55301.13994,60749.54091,63189.15183
"Hong Kong SAR, China",HKG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,46830.22495,52277.46644,65884.93763,68602.27751,71548.9642
Honduras,HND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3806.347064,3900.711362,6202.980788,6805.493583,7178.807295
Heavily indebted poor countries (HIPC),HPC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1872.685235,2057.431192,2970.858547,3238.320672,3391.415429
Croatia,HRV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,21019.79881,21195.71515,36932.66803,41959.52938,45602.96011
Haiti,HTI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2724.459228,2858.19646,3134.950149,3264.933544,3281.212321
Hungary,HUN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20721.50241,23029.44718,38324.18149,43701.91294,45021.301
IBRD only,IBD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8388.662597,10014.16105,16292.66842,18079.19143,19503.17336
IDA & IBRD total,IBT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7012.664599,8277.552137,13081.73805,14454.73723,15503.7601
IDA total,IDA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2663.696447,2998.816038,4470.854026,4894.068123,5123.428814
IDA blend,IDB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3687.316779,4121.786387,5579.565988,6114.774087,6362.666305
Indonesia,IDN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7569.253047,8936.992155,12757.07464,14284.95942,15415.60579
IDA only,IDX,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2150.238093,2430.39159,3931.953962,4302.267562,4526.692
Isle of Man,IMN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
India,IND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3633.367832,4454.701532,8050.018575,9153.880842,10166.24341
Not classified,INX,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Ireland,IRL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,44169.09434,45525.71812,118701.844,137346.3717,124900.9386
"Iran, Islamic Rep.",IRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16830.93662,18487.07624,14951.89487,16424.37739,17659.87393
Iraq,IRQ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11657.31687,12912.02998,12731.75358,14348.57443,14107.29793
Iceland,ISL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,43728.11406,40936.86783,61741.57941,73614.9423,76356.81056
Israel,ISR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,27997.61482,31233.47836,46148.58085,53545.80889,54057.04841
Italy,ITA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,35653.83787,36789.05427,49825.39341,56218.76649,57801.36626
Jamaica,JAM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8488.093753,8353.307477,9577.164211,10790.1333,11421.75356
Jordan,JOR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8983.213324,9631.928993,9182.496161,9927.234198,10391.01361
Japan,JPN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,35273.79115,36214.43977,44315.49799,47328.53863,49793.93582
Kazakhstan,KAZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,17278.47217,20159.93294,32945.85157,35895.08399,38515.1836
Kenya,KEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2459.121745,2750.286638,5338.852434,5883.22304,6307.232494
Kyrgyz Republic,KGZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3031.49407,3278.351318,5736.478834,6577.512649,7106.491143
Cambodia,KHM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2768.792376,3223.102094,6225.532655,6917.070129,7425.511791
Kiribati,KIR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1735.431346,1785.571757,3049.473801,3340.040379,3546.918188
St. Kitts and Nevis,KNA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,24102.19938,24550.16519,26896.61771,31883.09978,33749.70042
"Korea, Rep.",KOR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,29946.07749,32546.75365,48419.64325,51231.45307,52203.96857
Kuwait,KWT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,90337.35688,79036.78577,50689.04408,54619.21852,51561.36381
Latin America & Caribbean (excluding high income),LAC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12454.21606,13939.79493,17883.53532,19958.41242,20924.52138
Lao PDR,LAO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3270.55751,4099.784573,8080.435532,8766.440626,9291.78859
Lebanon,LBN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12415.94001,14974.55344,11599.77551,12292.84073,
Liberia,LBR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,915.0535997,1040.761414,1539.208923,1691.572757,1794.533409
Libya,LBY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,30812.28373,15698.05191,12641.50977,12272.83562,13848.795
St. Lucia,LCA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12968.54573,13471.26664,19101.1653,24599.03092,25974.19603
Latin America & Caribbean,LCN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12893.00971,14347.81881,18652.9819,20805.41029,21856.63431
Least developed countries: UN classification,LDC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2055.592063,2298.172824,3645.577752,4004.995089,4205.962029
Low income,LIC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1447.87625,1557.389165,2160.867894,2333.959626,2411.336327
Liechtenstein,LIE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Sri Lanka,LKA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7316.586265,9075.545496,14316.13522,14194.02256,14460.74142
Lower middle income,LMC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3877.465668,4557.292319,7650.303991,8586.866875,9300.465984
Low & middle income,LMY,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6417.705301,7642.983705,12049.79885,13365.00229,14357.61428
Lesotho,LSO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2064.423112,2278.501428,2544.782496,2761.31105,2880.96631
Late-demographic dividend,LTE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10304.2309,12706.07162,21935.8187,24159.39099,25981.35527
Lithuania,LTU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20735.70798,22701.55461,45997.03755,50498.3824,50914.86381
Luxembourg,LUX,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,90970.7212,94475.03023,135501.6366,144872.6966,139466.4015
Latvia,LVA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18634.73096,18618.70154,36913.75211,39965.25114,41491.51067
"Macao SAR, China",MAC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,76830.71838,121075.8437,74177.78252,64373.93254,116491.07
St. Martin (French part),MAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Morocco,MAR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6437.063477,7274.147461,8623.265625,9283.925781,9842.888672
Monaco,MCO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Moldova,MDA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6153.351521,6832.941565,15682.07033,16381.30683,17596.88342
Madagascar,MDG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1577.338389,1475.170552,1599.412769,1738.294553,1823.817329
Maldives,MDV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13765.48404,13712.65155,19052.62249,22880.51232,24735.07542
Middle East & North Africa,MEA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16385.09115,17628.15667,17882.57838,19861.79945,20564.45656
Mexico,MEX,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15680.57619,17266.81291,20782.58775,23345.42143,24789.6756
Marshall Islands,MHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3118.234671,3536.560042,6705.875292,7332.300208,7532.174773
Middle income,MIC,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6908.842897,8272.7762,13246.50403,14724.74579,15857.65326
North Macedonia,MKD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10924.3281,12420.80787,22144.31199,24067.48912,24390.48735
Mali,MLI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1601.873468,1720.785056,2347.627529,2525.245789,2657.712984
Malta,MLT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,26653.8975,29425.97504,56748.73028,60352.48308,63419.8237
Myanmar,MMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2748.079213,3579.40483,5178.447182,5731.937879,5953.357352
Middle East & North Africa (excluding high income),MNA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10467.53832,11060.4668,12155.76971,13392.39967,14072.76503
Montenegro,MNE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13816.57346,14472.42125,24068.43327,27882.2345,30966.67374
Mongolia,MNG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7296.580737,8861.820529,14792.25091,16401.98948,18004.85121
Northern Mariana Islands,MNP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Mozambique,MOZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,916.1558502,1063.655433,1457.235409,1581.944194,1677.681023
Mauritania,MRT,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3235.997822,3270.862513,5836.565808,6484.827927,6946.193933
Mauritius,MUS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14563.88875,16877.46517,22737.57294,26601.72066,29511.22741
